Company_Name,Country,City,Latitude,Longitude,Technology,Core_Equipment,Material,Date_Founded,Website,YouTube_Video,Status,Description
Apis Cor,USA,Melbourne FL,28.1427,-80.6763,Robotic Arm,Apis Cor 3D printer,"cement, geopolymer, clay, hemp concrete",,https://apis-cor.com/,https://www.youtube.com/watch?v=xktwDfasPGQ,Active,
COBOD International A/S (PERI),Denmark,Copenhagen,55.7164,12.5990,Gantry,COBOD BOD2 / BOD3,"concrete, geopolymer, D.fab admixture",,https://cobod.com/,https://www.youtube.com/watch?v=bsG6vLJDgV4,Active,
ICON,USA,Austin TX,30.2170,-97.7636,Gantry,Vulcan,Lavacrete (proprietary concrete),,https://www.iconbuild.com/,https://www.youtube.com/watch?v=a9cmTJw5cf0,Active,
WASP,Italy,Massa Lombarda,44.4481,11.8087,Delta / Gantry,WASP Crane / BigDelta,"clay, concrete, earth-based",,https://www.3dwasp.com/en/,https://www.youtube.com/watch?v=w9sXqxccRPM,Active,
CyBe Construction,Netherlands,s-Hertogenbosch,51.7660,5.5260,Robotic Arm,CyBe R 3Dp / RC 3Dp,"concrete, mortar",,https://cybe.eu/,https://www.youtube.com/watch?v=_G6Sg20ddwM,Active,
XtreeE,France,Rungis,48.7414,2.3499,Robotic Arm,"ABB, KUKA","concrete, UHPC",,https://xtreee.com/en/,https://www.youtube.com/watch?v=PXImY6z1cKY,Active,
Contour Crafting,USA,Los Angeles CA,33.9139,-118.3837,Gantry,Contour Crafting 3D,concrete,,https://www.contourcrafting.com/,https://www.youtube.com/watch?v=xZL0A0IMFVY,Active,
Mighty Buildings,USA,Oakland CA,37.7431,-122.1906,Robotic Arm,Mighty Buildings 3D,light stone material (thermoset polymer),,https://www.mightybuildings.com/,https://www.youtube.com/watch?v=uo12ImflRYQ,Active,
Winsun,China,Shanghai,31.2034,121.1027,Gantry,WinSun,"concrete, recycled materials",,http://www.winsun3d.com/En/,https://www.youtube.com/watch?v=SObzNdyRTBs,Active,
SQ4D,USA,Patchogue NY,40.7667,-73.0133,Gantry,ARCS,concrete,,https://www.sq4d.com/,https://www.youtube.com/watch?v=9l9LzkDK3L8,Active,
